name,poster_path,kinopoisk_id,rate,metric
Декодер. Игра гения,https://imagetmdb.cub.red/t/p/w500/owI57zgB7EDK4XSud6CShqbVk8T.jpg,6056049,6.4,0.7666666666666667
Мир в моей голове,https://imagetmdb.cub.red/t/p/w500/zJ7qQhwUv2JwDSozQpq0xrJD2VL.jpg,5459995,6.6,0.7666666666666667
Пожиратель душ,https://imagetmdb.cub.red/t/p/w500/xPRUA8SGuT56vwfTJTCRwJPfQc9.jpg,5429847,5.7,0.7648578811369509
Отец года,https://imagetmdb.cub.red/t/p/w500/gIoz8XbhqZBO9E8yRQfvngVjyXD.jpg,5631768,6.3,0.7627118644067796
Великая,https://imagetmdb.cub.red/t/p/w500/n6LCymfPJoy1sOKcB6ARsgbqL4g.jpg,1390797,8.0,0.760989010989011
Асфальтовые джунгли,https://imagetmdb.cub.red/t/p/w500/iM1pHw29ycqyXeYHg88EK83c7tY.jpg,1236605,6.9,0.7572815533980582
Побег из лабиринта времени,https://imagetmdb.cub.red/t/p/w500/cExJEqyezCFq8LDGYwRsBA0pkWe.jpg,5448948,6.1,0.7553191489361702
Ларго Винч: Гнев прошлого,https://imagetmdb.cub.red/t/p/w500/1mCHDfWHv1i7NSX5Ib49ZbUWwsW.jpg,5424447,6.6,0.7529411764705882
Ленивая семейка,https://imagetmdb.cub.red/t/p/w500/7HJJWDSwMe1Cb5YT8XWtuqmdxEw.jpg,5940093,7.8,0.75
Моя чудная семейка,https://imagetmdb.cub.red/t/p/w500/wPudEOa1KsFRK4O9ayJNmmaXa0.jpg,5361987,7.2,0.75
Команда монстров,https://imagetmdb.cub.red/t/p/w500/k2cjlnBvMSN8O8ld7WhI2YUiBg0.jpg,6114072,7.0,0.75
Хвостатый переполох,https://imagetmdb.cub.red/t/p/w500/ohda9iXUT3RyDEYnCskbNeeEEH1.jpg,4624998,8.2,0.75
Мой шпион: Вечный город,https://imagetmdb.cub.red/t/p/w500/t1SLLwzVQkChyPgE9sy6zNvz4cG.jpg,5098018,5.8,0.7475247524752475
Игра королевы,https://imagetmdb.cub.red/t/p/w500/iDnT6GOOv2Xl27TOiUmOKzU3Cp2.jpg,4964806,6.7,0.7456140350877193
Свидание с монстром,https://imagetmdb.cub.red/t/p/w500/n2GlNZadqWmoSAVHZTJJWAsmj54.jpg,4514472,6.4,0.740343347639485
Дикий алмаз,https://imagetmdb.cub.red/t/p/w500/q8rNkvFXkysQAQlZghYkNLTqUev.jpg,5504259,6.2,0.7391304347826086
Что случилось осенью,https://imagetmdb.cub.red/t/p/w500/9Os7c7qMQSwWnm9B3mcqspmiVZM.jpg,6320705,7.5,0.7391304347826086
Приключения панды,https://imagetmdb.cub.red/t/p/w500/7LjF2XCHODS8WEmFoxsF4aYSlAR.jpg,4292874,5.9,0.7321428571428571
Ночь в зоопарке,https://imagetmdb.cub.red/t/p/w500/dzRvz4pE1tf61SuXu3pR45Vn4tP.jpg,5451771,7.6,0.7213114754098361
Мёртвые не причиняют боли,https://imagetmdb.cub.red/t/p/w500/yYEd6slcWTuWYLUEsGe62j62Pl0.jpg,5135198,6.7,0.7195767195767195
Быть лучше: История Робби Уильямса,https://imagetmdb.cub.red/t/p/w500/4nUN5BtOyHKi0bWmin8ZEgdTzve.jpg,4965186,7.8,0.7068965517241379
Опасные воды,https://imagetmdb.cub.red/t/p/w500/xSfQGknUnqbkm7GJ8CPnEeIWkim.jpg,5182054,5.9,0.7033639143730887
Схватка,https://imagetmdb.cub.red/t/p/w500/8df3QV1S05OL134uPcOODaahgVK.jpg,5453341,6.7,0.7009345794392523
Хозяин дома,https://imagetmdb.cub.red/t/p/w500/zYGgfAfirkAFkxsUM3OqZdTIFgX.jpg,5900247,6.2,0.6938775510204082
